	Lead Result	Lead Result	Lead Result	Lead Result	Lead Result
	min	max	mean	count	count_above_5
AnneDarlingElementarySANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
AntelopeCreekElementaryPLACERCWAFOOTHILL	5.0	5.0	5.0	5	0.0
AntelopeHighSACRAMENTOSUBURBANWATERDISTRICT	5.0	5.0	5.0	5	0.0
AntonioDelBuonoElementaryCITYOFGILROY	5.0	6.8	5.6000000000000005	3	1.0
AnzaElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	4	0.0
AppleValleyHighAPPLEVALLEYRANCHOSWC	5.0	5.0	5.0	5	0.0
ArbuckleElementaryARBUCKLEPUBLICUTILITYDISTRICT	5.0	5.0	5.0	3	0.0
ArgonautElementarySANJOSEWATERCOMPANY	0.1	2.0	0.5920000000000001	5	0.0
ArgonneElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
ArleneHeinElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
ArlingtonHeightsElementaryCALAMLINCOLNOAKS	5.0	6.3	5.26	5	1.0
ArmenianCommunitySchoolCITYOFCLOVIS	5.0	5.0	5.0	4	0.0
ArnoldAdreaniElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
ArovistaElementaryCITYOFBREA	5.0	5.0	5.0	5	0.0
ArroyoElementaryVENTURAWWDNO8SIMIVALLEY	5.0	5.0	5.0	4	0.0
ArroyoGrandeHighARROYOGRANDEWATERDEPARTMENT	5.0	5.0	5.0	5	0.0
ArroyoPaseoCharterHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
ArroyoSchoolCALIFORNIAWATERSERVICESANCARLOS	5.0	5.0	5.0	2	0.0
ArthurABenjaminHealthProfessionsHighCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
ArthurCButlerElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
ArundelElementaryCALIFORNIAWATERSERVICESANCARLOS	5.0	5.0	5.0	3	0.0
ArvinHighARVINCOMMUNITYSERVICESDIST	5.0	5.0	5.0	5	0.0
AshleyFallsElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
AspireCapitolHeightsAcademyCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	3	0.0
AudubonK8SANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
AugustSchillingElementaryALAMEDACOUNTYWATERDISTRICT	5.0	5.0	5.0	5	0.0
AuroraSchoolEASTBAYMUD	5.0	5.0	5.0	5	0.0
AvesonSchoolofLeadersPASADENACITYWATERDEPT	5.0	5.0	5.0	5	0.0
AvocadoElementaryOTAYWATERDISTRICT	5.0	5.0	5.0	1	0.0
BachrodtCharterAcademySANJOSEWATERCOMPANY	5.0	7.0	5.4	5	1.0
BaechtelGroveMiddleWILLITSCITYOF	5.0	5.0	5.0	5	0.0
BahiaVistaElementaryMARINMUNICIPALWATERDISTRICT	5.0	5.0	5.0	5	0.0
BakerElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
BakersfieldHighCWSBAKERSFIELD	5.0	8.4	5.68	5	1.0
BalboaElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
BaldwinLaneElementaryDWPSUGARLOAFERWINLAKE	5.0	5.0	5.0	5	0.0
BallardElementarySANDIEGOCITYOF	5.0	10.0	6.0	5	1.0
BancroftElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
BancroftElementaryQuestAcademyHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
BandiniElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
BannonCreekElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	2	0.0
BanyanElementaryCUCAMONGAVALLEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
BarbaraChiltonMiddleCITYOFROSEVILLE	5.0	5.0	5.0	5	0.0
BarbaraComstockMorseElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
BarbaraWebsterElementarySANTAPAULAWATERSYSTEM	5.0	6.8	5.36	5	1.0
BarnardElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
BayElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
BayFarmEASTBAYMUD	5.0	5.0	5.0	5	0.0
BayParkElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
BayViewAcademyCALAMWATERCOMPANYMONTEREY	5.0	8.0	5.6	5	1.0
BayfrontCharterHighSchoolSWEETWATERAUTHORITY	5.0	5.0	5.0	3	0.0
BayshoreElementaryCITYOFDALYCITY	5.0	5.0	5.0	2	0.0
BaysideElementaryCALAMWATERCORONADO	5.0	7.3	5.46	5	1.0
BayviewElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
BeachElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
BeaconParkIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
BearValleyMiddleESCONDIDOCITYOF	5.0	5.0	5.0	5	0.0
BeaumontElementaryVISTAIRRIGATIONDISTRICT	5.0	5.0	5.0	3	0.0
