	Lead Result	Lead Result	Lead Result	Lead Result	Lead Result
	min	max	mean	count	count_above_5
ChineseEducationCenterSFPUCCITYDISTRIBUTIONDIVISION	5.0	9.67	5.964	5	2.0
ChineseImmersionSchoolatDeAvilaSFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
ChipmanJuniorHighCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
ChollasMeadElementarySANDIEGOCITYOF	5.0	7.73	5.546	5	1.0
ChristLutheranElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	2	0.0
ChristaMcAuliffeElementaryBAKERSFIELDCITYOF	5.0	5.0	5.0	4	0.0
ChristaMcAuliffeElementaryOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
ChristianBrothersHighSchoolCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
ChristianElementaryWestHELIXWATERDISTRICT	5.0	5.0	5.0	4	0.0
ChristopherHighCITYOFGILROY	5.0	5.0	5.0	3	0.0
ChulaVistaLearningCommunityCharterSWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
ChulaVistaSeniorHighSWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
CinnamonElementaryLEMOORECITYOF	5.0	5.0	5.0	5	0.0
ClairBurgenerAcademyOCEANSIDECITYOF	5.0	9.1	6.183333333333334	6	2.0
ClairemontHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
ClarendonAlternativeElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
ClarkMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
ClayElementarySANDIEGOCITYOF	5.0	10.5	6.1	5	1.0
ClaytonARecordJrElementaryEASTERNMUNICIPALWD	5.0	5.0	5.0	5	0.0
ClevelandElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
ClevelandElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
CobbWilliamLElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
CobblestoneElementaryPLACERCWAFOOTHILL	5.0	5.0	5.0	5	0.0
CollegeHeightsElementaryCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
CollegeParkElementaryIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
CollinsElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
ColonelHowardNicholsElementaryCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
ColonialAcresElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
ColumbiaAcademyCITYOFCORNING	5.0	5.0	5.0	1	0.0
ColumbiaElementaryTUDCOLUMBIAWATERSYSTEM	5.0	5.6	5.16	5	2.0
ColumbiaMiddleCITYOFSUNNYVALE	5.0	5.0	5.0	5	0.0
ColumbusContinuationDOWNEYCITYWATERDEPT	9.0	10.0	9.5	2	2.0
CommunityUnitedElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
CompetitiveEdgeCharterAcademyCECAYUCAIPAVALLEYWATERDISTRICT	5.0	5.0	5.0	10	0.0
ComptonJuniorHighCWSBAKERSFIELD	5.0	5.0	5.0	5	0.0
ConwayElementaryESCONDIDOCITYOF	5.0	5.0	5.0	5	0.0
CookHazelGoesElementarySWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
CornellElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
CorningHighCITYOFCORNING	5.0	5.0	5.0	3	0.0
CoronadoElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
CoronadoHighCALAMWATERCORONADO	5.0	5.0	5.0	5	0.0
CoronadoMiddleCALAMWATERCORONADO	5.0	5.0	5.0	5	0.0
CoronadoVillageElementaryCALAMWATERCORONADO	5.0	5.0	5.0	5	0.0
CorreiaMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CorvallisElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
CosumnesOaksHighSCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
CountryMontessoriSchoolofPowayPOWAYCITYOF	5.0	5.0	5.0	5	0.0
CragmontElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
CrawfordHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CreativeConnectionsArtsAcademySACRAMENTOSUBURBANWATERDISTRICT	5.0	5.8	5.16	5	1.0
CreativeConnectionsArtsAcademyWalergaSACRAMENTOSUBURBANWATERDISTRICT	5.0	5.0	5.0	5	0.0
CreativePerformingandMediaArtsSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CreeksideEarlyLearningCenterPADREDAMMWD	5.0	5.0	5.0	5	0.0
CreeksideHighIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	4	0.0
CrespiJuniorHighEASTBAYMUD	5.0	5.0	5.0	4	0.0
CrestElementaryPADREDAMMWD	5.0	5.0	5.0	5	0.0
CrestmontElementaryCITYOFROSEVILLE	5.0	5.0	5.0	5	0.0
CrestmoreElementaryWESTVALLEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
CrestviewElementaryVENTURAWWDNO8SIMIVALLEY	5.0	5.0	5.0	4	0.0
CrockerHighlandsElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
CrockerMiddleHILLSBOROUGHWATERDEPT	5.0	5.0	5.0	5	0.0
CrockerRiversideElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
CrownPointElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CubberleyElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CucamongaElementaryCUCAMONGAVALLEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
CulverdaleElementaryIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
CumberlandElementaryCITYOFSUNNYVALE	5.0	5.0	5.0	5	0.0
CurieElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
CurranMiddleCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
CypressVillageElementaryIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
DWBabcockElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
DaVinciCharterAcademyCITYOFDAVIS	5.0	5.0	5.0	5	0.0
DailardElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
DamienHighSchoolLAVERNECITYWD	5.0	5.0	5.0	5	0.0
DanaSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
DanielWebsterElementaryCITYOFDALYCITY	5.0	5.0	5.0	4	0.0
DanielWebsterPASADENACITYWATERDEPT	5.0	5.0	5.0	5	0.0
DarnallCharterSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
DavidLubinElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
DavidReeseElementaryCALAMPARKWAY	5.0	5.0	5.0	5	0.0
DavidStarrJordanMiddleBURBANKCITYWATERDEPT	5.0	5.0	5.0	5	0.0
DavisSchoolforIndependentStudyCITYOFDAVIS	5.0	5.0	5.0	5	0.0
DavisSeniorHighCITYOFDAVIS	5.0	5.0	5.0	5	0.0
DaylorWilliamHighContinuationCALAMPARKWAY	5.0	5.0	5.0	5	0.0
DayspringChristianLearningCenterHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
DaytonElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
DeAnzaHighEASTBAYMUD	5.0	5.0	5.0	5	0.0
DeAnzaMagnetELCENTROCITYOF	5.0	5.0	5.0	5	0.0
DePortolaMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
DeerCanyonElementaryCUCAMONGAVALLEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
DeerfieldElementaryIRVINERANCHWATERDISTRICT	5.0	5.1	5.0200000000000005	5	1.0
DelCampoHighCARMICHAELWATERDISTRICT	5.0	5.0	5.0	5	0.0
DelDiosAcademyofArtsandSciencesESCONDIDOCITYOF	5.0	5.0	5.0	5	0.0
DelMarHeightsElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
DelMarHighSANJOSEWATERCOMPANY	0.15	1.3	0.6639999999999999	5	0.0
DelMarHillsElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
DelPasoHeightsElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
DelReyElementaryEASTBAYMUD	5.0	9.2	5.42	10	1.0
DelReyWoodsElementaryCALAMWATERCOMPANYMONTEREY	1.0	12.0	6.0	3	1.0
DelRioElementaryOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
DescansoElementaryDESCANSOCOMMUNITYSERVICESDISTRICT	5.0	5.0	5.0	5	0.0
DesertGardenElementaryELCENTROCITYOF	5.0	5.0	5.0	5	0.0
DesertKnollsElementaryAPPLEVALLEYRANCHOSWC	5.0	5.0	5.0	5	0.0
DeweyElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
DiamondCreekElementaryCITYOFROSEVILLE	5.0	5.0	5.0	5	0.0
DiegoValleyCharterHELIXWATERDISTRICT	5.0	5.0	5.0	2	0.0
DieguenoMiddleOLIVENHAINMWD	5.0	5.0	5.0	4	0.0
DingemanElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
DiscoveryElementaryVALLECITOSWD	5.0	5.0	5.0	5	0.0
DitmarElementarySchoolOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
DixieElementaryMARINMUNICIPALWATERDISTRICT	5.0	5.0	5.0	5	0.0
DonaldESuburuBAKERSFIELDCITYOF	5.0	5.0	5.0	4	0.0
DonaldLRheemElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
DotyMiddleDOWNEYCITYWATERDEPT	5.0	5.0	5.0	3	0.0
DoublePeakK8SchoolVALLECITOSWD	5.0	5.0	5.0	5	0.0
DouglasCityElementaryWEAVERVILLECSD	5.0	5.0	5.0	5	0.0
DouglasJMillerElementaryBAKERSFIELDCITYOF	5.0	5.0	5.0	5	0.0
DoverElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
DowneyAdultDOWNEYCITYWATERDEPT	5.0	5.0	5.0	3	0.0
DowneyHighDOWNEYCITYWATERDEPT	5.0	5.0	5.0	3	0.0
DowntownElementaryCWSBAKERSFIELD	5.0	5.0	5.0	3	0.0
DoyleElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
DrDouglasKFletcherElementaryCWSBAKERSFIELD	5.0	5.0	5.0	5	0.0
DrJulietThornerElementaryCWSBAKERSFIELD	5.0	5.0	5.0	5	0.0
DrewCharlesCollegePreparatoryAcademySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
DryCreekElementaryRIOLINDAELVERTACOMMUNITYWATERDIST	5.0	5.0	5.0	5	0.0
DualLanguageAcademyoftheMontereyPeninsulaMARINACOASTWATERDISTRICT	2.5	6.0	3.6666666666666665	3	1.0
EGGarrisonElementaryOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
EJEAcademiesHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
ELMusickElementaryALAMEDACOUNTYWATERDISTRICT	5.0	5.0	5.0	4	0.0
EarlLegetteElementaryFAIROAKSWATERDISTRICT	5.0	5.0	5.0	5	0.0
EarlWarrenElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
EarlWarrenJuniorHighBAKERSFIELDCITYOF	5.0	5.0	5.0	4	0.0
EarlyChildhoodDevelopmentCenterECDCCALAMWATERCORONADO	5.0	5.0	5.0	5	0.0
EastBakersfieldHighCWSBAKERSFIELD	5.0	5.0	5.0	5	0.0
EastBayArtsHighEASTBAYMUD	5.0	5.0	5.0	5	0.0
EastCountyRegionalEducationCenterHELIXWATERDISTRICT	5.0	5.0	5.0	2	0.0
EastOaklandPrideElementaryEASTBAYMUD	5.0	6.5	5.3	5	1.0
EastPaloAltoAcademyCITYOFEASTPALOALTO	5.0	5.0	5.0	5	0.0
EastVillageHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
EastWhittierMiddleSUBURBANWATERSYSTEMSWHITTIER	5.0	5.0	5.0	5	0.0
EastshoreElementaryIRVINERANCHWATERDISTRICT	5.0	5.27	5.054	5	1.0
EcoleBilingueDeBerkeleyEASTBAYMUD	5.0	5.0	5.0	5	0.0
EdendaleMiddleEASTBAYMUD	5.0	5.0	5.0	5	0.0
EdisonCharterAcademySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
EdisonElementaryEASTBAYMUD	5.0	5.0	5.0	3	0.0
EdisonElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
EdisonElementarySANTAMONICACITYWATERDIVISION	5.0	5.0	5.0	4	0.0
EdisonMiddleEASTNILESCSD	5.0	5.0	5.0	4	0.0
EdnaBateyElementaryELKGROVEWATERSERVICE	5.0	5.0	5.0	5	0.0
EdwardHarrisJrMiddleSCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
EdwardKembleElementaryCITYOFSACRAMENTOMAIN	5.0	9.6	6.4799999999999995	5	3.0
EdwardMDownerElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
EinsteinAcademySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
ElCajonSeventhdayAdventistHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
ElCajonValleyHighECAdultCenterHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
ElCajonValleyHighHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
ElCaminoElementaryGOLETAWATERDISRICT	5.0	5.0	5.0	5	0.0
ElCaminoHighOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
ElCapitanHighLAKESIDEWD	5.0	5.0	5.0	5	0.0
ElCentroElementarySchoolDistrictOfficeELCENTROCITYOF	5.0	6.6	5.32	5	1.0
ElGabilanElementaryCWSCSALINAS	5.0	5.0	5.0	5	0.0
ElRobleElementaryCITYOFGILROY	5.0	5.0	5.0	1	0.0
ElSerenoAlternativeEducationFAIROAKSWATERDISTRICT	5.0	5.3	5.0600000000000005	5	1.0
ElToyonElementarySWEETWATERAUTHORITY	5.0	6.0	5.2	5	1.0
ElderCreekElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
ElinorLincolnHickeyJrSrHighSACRAMENTOSUBURBANWATERDISTRICT	5.0	5.0	5.0	3	0.0
EliotElementaryCITYOFGILROY	5.0	9.6	5.92	5	1.0
EliteREACHAcademyHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
ElithaDonnerElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
ElizabethPinkertonMiddleSCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
ElkGroveCharterSCWALAGUNAVINEYARD	5.0	5.0	5.0	4	0.0
ElkGroveElementaryELKGROVEWATERSERVICE	5.0	5.0	5.0	5	0.0
ElkGroveHighELKGROVEWATERSERVICE	5.0	5.0	5.0	5	0.0
EllenFeickertElementaryELKGROVEWATERSERVICE	5.0	9.3	5.86	5	1.0
EllerhorstElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
ElliottRanchElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
EllisElementaryCITYOFSUNNYVALE	5.0	5.0	5.0	5	0.0
EllwoodElementaryGOLETAWATERDISRICT	5.0	7.6	5.5200000000000005	5	1.0
EmeraldMiddleHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
EmersonElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
EmersonElementarySANDIEGOCITYOF	5.0	29.0	9.0	6	1.0
EmersonMiddleCWSBAKERSFIELD	5.0	5.0	5.0	5	0.0
EmeryParkElementaryCITYOFALHAMBRA	5.0	5.8	5.16	5	1.0
EmoryElementaryCALAMWATERCORONADO	5.0	5.0	5.0	5	0.0
EmpireGardensElementarySANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
EmpresaElementaryOCEANSIDECITYOF	5.0	5.0	5.0	4	0.0
EnCompassAcademyElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
EncantoElementarySANDIEGOCITYOF	5.0	9.19	6.014	5	3.0
EncinaPreparatoryHighCALAMARDEN	5.0	5.0	5.0	5	0.0
EncinalJuniorSeniorHighEASTBAYMUD	5.0	5.0	5.0	5	0.0
EnglishFrenchLearningAcademySANDIEGOCITYOF	5.0	35.9	11.18	5	1.0
EnterpriseHighCITYOFREDDING	5.0	5.0	5.0	5	0.0
EphraimWilliamsCollegePrepMiddleSchoolCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	3	0.0
EricsonElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
ErnestoGalarzaElementarySANJOSEWATERCOMPANY	5.0	6.5	5.3	5	1.0
EscuelaBilingeInternacionalEASTBAYMUD	5.0	5.0	5.0	5	0.0
EscuelaBilingueInternacionalSanPabloEmeryvilleCampusEASTBAYMUD	5.0	5.0	5.0	5	0.0
EsperanzaElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
EstudilloElementaryEASTERNMUNICIPALWD	5.0	5.0	5.0	5	0.0
EthelIBakerElementaryFRUITRIDGEVISTAWATERCOMPANY	5.0	5.9	5.18	5	1.0
EthelPhillipsElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
EucalyptusHillsElementaryLAKESIDEWD	5.0	5.0	5.0	3	0.0
EuclidElementarySANDIEGOCITYOF	5.0	6.65	5.33	5	1.0
EurekaSeniorHighEUREKACITYOF	1.4	5.0	3.5799999999999996	5	0.0
EvergreenElementaryCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
EvergreenElementarySUBURBANWATERSYSTEMSWHITTIER	5.0	12.0	6.8	6	2.0
EvergreenValleyHighCITYOFSANJOSEEVGEDVCOY	5.0	5.0	5.0	5	0.0
FairbanksElementaryCITYOFSACRAMENTOMAIN	5.0	10.1	6.0200000000000005	5	1.0
FairmontElementaryEASTBAYMUD	5.0	5.0	5.0	1	0.0
FairmountElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
FairwoodElementaryCITYOFSUNNYVALE	5.0	5.0	5.0	5	0.0
FallRiverCommunityDayFALLRIVERVALLEYCSD	5.0	5.0	5.0	3	0.0
FallRiverElementaryFALLRIVERVALLEYCSD	5.0	5.0	5.0	5	0.0
FallRiverJuniorSeniorHighFALLRIVERVALLEYCSD	5.0	5.0	5.0	5	0.0
FarbMiddleSANDIEGOCITYOF	5.0	6.97	5.394	5	1.0
FarrAvenueElementaryESCONDIDOCITYOF	5.0	5.0	5.0	5	0.0
FatherKeithBKennyCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
FayElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
FeasterMaeLCharterSWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
FeinsteinDianneElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
FernBaconMiddleFRUITRIDGEVISTAWATERCOMPANY	5.0	5.0	5.0	5	0.0
FernandoRiveraIntermediateCITYOFDALYCITY	5.0	25.0	9.0	5	1.0
FerrisSpangerElementaryCITYOFROSEVILLE	5.0	5.0	5.0	4	0.0
FiddymentFarmCITYOFROSEVILLE	5.0	5.0	5.0	5	0.0
FieldElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
FieldEugeneElementaryPASADENACITYWATERDEPT	5.0	5.0	5.0	5	0.0
FinneyMyrtleSElementaryCALAMWATERCORONADO	5.0	5.0	5.0	5	0.0
FletcherElementarySANDIEGOCITYOF	5.0	6.82	5.364	5	1.0
FletcherHillsElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
FlorenceElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
FlorenceMarkoferElementaryELKGROVEWATERSERVICE	5.0	5.0	5.0	5	0.0
FlorinHighCALAMPARKWAY	5.0	5.0	5.0	5	0.0
FloydMStorkElementaryCUCAMONGAVALLEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
FlyingHillsElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
FlynnLeonardRElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	4	0.0
FoothillElementaryCALAMWATERCOMPANYMONTEREY	5.0	5.0	5.0	3	0.0
FoothillElementaryGOLETAWATERDISRICT	5.0	6.1	5.220000000000001	5	1.0
FoothillElementarySANJOSEWATERCOMPANY	0.17	3.8	1.244	5	0.0
FoothillHighCITYOFTUSTIN	5.0	5.0	5.0	5	0.0
FoothillHighEASTNILESCSD	1.0	1.8	1.425	4	0.0
FoothillHighSACRAMENTOSUBURBANWATERDISTRICT	5.0	5.0	5.0	5	0.0
FoothillHighSANJOSEWATERCOMPANY	0.4	5.0	1.6625	4	0.0
FoothillOakElementaryVISTAIRRIGATIONDISTRICT	5.0	5.0	5.0	3	0.0
FoothillRanchMiddleSACRAMENTOSUBURBANWATERDISTRICT	5.0	5.0	5.0	5	0.0
FoothillsAdultEducationCenterHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
FoothillsAdventistElementarySTHELENAHOSPITAL	5.0	24.0	10.585714285714285	7	4.0
FoothillsChristianHighSchoolHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
FoothillsChristianMiddleSchoolHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
FoothillsandGrossmontAdultEducationCentersHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
ForestHillElementarySANJOSEWATERCOMPANY	0.08900000000000001	0.34	0.17980000000000002	5	0.0
FosterElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
FoussatElementarySchoolOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
FrancesEllenWatkinsHarperJuniorHighCITYOFDAVIS	5.0	5.0	5.0	5	0.0
FrancisHopkinsonElementaryGOLDENSTATEWCWESTORANGE	5.0	5.0	5.0	5	0.0
FrankLHuffElementaryCWSCLOSALTOSSUBURBAN	5.0	5.0	5.0	5	0.0
FrankOtisElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
FrankWestElementaryCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
FranklinDelanoRooseveltElementaryCITYOFDALYCITY	5.0	5.0	5.0	3	0.0
FranklinElementaryCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
FranklinElementaryEASTBAYMUD	5.0	5.0	5.0	10	0.0
FranklinElementaryLINCOLNAVENUEWATERCO	5.0	5.0	5.0	10	0.0
FranklinElementaryMEADOWBROOKWC	5.0	5.9	5.18	5	1.0
FranklinElementarySANDIEGOCITYOF	5.0	5.15	5.029999999999999	5	1.0
FranklinElementarySANTAMONICACITYWATERDIVISION	1.0	5.0	3.0999999999999996	4	0.0
FranklinHighSCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
FredFinchYouthCenterHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
FredTKorematsuElementarySchoolatMaceRanchCITYOFDAVIS	5.0	5.0	5.0	5	0.0
FrederickJoyceElementarySACRAMENTOSUBURBANWATERDISTRICT	5.0	5.0	5.0	5	0.0
FreeWillChristianAcademySHAFTERCITYOF	1.0	1.0	1.0	2	0.0
FreedomHighCITYOFREDDING	5.0	5.0	5.0	2	0.0
FreeseElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
FremontElementaryCITYOFALHAMBRA	5.0	5.0	5.0	5	0.0
FremontElementaryCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
FriendlyHillsElementaryJOSHUABASINWATERDISTRICT	5.0	5.0	5.0	5	0.0
FriendshipSchoolCALAMWATERCORONADO	5.0	5.0	5.0	3	0.0
FrontierElementaryCALAMLINCOLNOAKS	5.0	5.0	5.0	4	0.0
FrontierHighBAKERSFIELDCITYOF	5.0	5.0	5.0	5	0.0
FrontierHighContinuationSUBURBANWATERSYSTEMSWHITTIER	5.0	10.0	6.0	5	1.0
FruitvaleElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
FuerteElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
FullertonUnionHighCITYOFFULLERTON	5.0	5.0	5.0	5	0.0
FultonK8SANDIEGOCITYOF	5.0	5.41	5.082	5	1.0
FuturesElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
GageElementarySANDIEGOCITYOF	5.0	10.1	6.062	5	2.0
GallatinElementaryDOWNEYCITYWATERDEPT	5.0	5.8	5.266666666666667	3	1.0
GardenRoadElementaryPOWAYCITYOF	5.0	5.0	5.0	5	0.0
GardenValleyElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
GardenVillageElementaryCALIFORNIAWATERSERVICESSANFRANCISCO	5.0	5.0	5.0	3	0.0
GardnerElementarySANJOSEWATERCOMPANY	5.0	14.0	6.8	5	1.0
GarfieldElementaryCITYOFALHAMBRA	5.0	5.6	5.12	5	1.0
GarfieldElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
GarfieldElementaryHUMBOLDTCSD	5.0	5.0	5.0	5	0.0
GarfieldElementarySANDIEGOCITYOF	5.0	5.26	5.052	5	1.0
GarfieldHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
GauldinElementaryDOWNEYCITYWATERDEPT	5.0	8.9	6.400000000000001	3	2.0
GavilanViewMiddleCWSCSALINAS	5.0	5.0	5.0	5	0.0
GeneralPershingElementaryCITYOFDALYCITY	5.0	5.0	5.0	2	0.0
GenevieveDidionCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
GeorgeABuljanMiddleCITYOFROSEVILLE	5.0	5.0	5.0	5	0.0
GeorgeCMarshallElementaryMARINACOASTWATERDISTRICT	2.5	2.5	2.5	4	0.0
GeorgeCirbyElementaryCITYOFROSEVILLE	5.0	5.0	5.0	5	0.0
GeorgeNicoloffElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
GeorgeSargeantElementaryCITYOFROSEVILLE	5.0	170.0	53.142857142857146	7	3.0
GeorgeWashingtonCarverSchoolofArtsandScienceCALAMSUBURBAN	5.0	5.0	5.0	5	0.0
GeorgeWashingtonElementaryBURBANKCITYWATERDEPT	5.0	5.0	5.0	5	0.0
GeorgeWashingtonElementaryCITYOFDALYCITY	5.0	5.0	5.0	5	0.0
GeraldASmithElementaryWESTVALLEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
GilroyHighCITYOFGILROY	5.0	5.0	5.0	3	0.0
GilroyPrepaNavigatorSchoolCITYOFGILROY	5.0	5.0	5.0	2	0.0
GilroyUnifiedStatePreschoolCITYOFGILROY	5.0	5.0	5.0	2	0.0
GlenAWilsonHighROWLANDWATERDISTRICT	5.0	5.0	5.0	5	0.0
GlenCityElementarySANTAPAULAWATERSYSTEM	5.0	5.0	5.0	5	0.0
GlenViewElementaryCITYOFGILROY	5.0	5.0	5.0	3	0.0
GlenViewElementaryESCONDIDOCITYOF	5.0	5.0	5.0	5	0.0
GlenviewElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
GlenwoodElementaryMARINMUNICIPALWATERDISTRICT	5.0	5.0	5.0	5	0.0
GloriettaElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
GodfreyGBerryElementaryCALAMWATERCORONADO	5.0	7.7	5.54	5	1.0
GoldenEmpireElementaryCALAMSUBURBAN	5.0	5.0	5.0	5	0.0
GoldenHillK8SANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
GoldenHillsEducationCenterCITYOFFAIRFIELD	5.0	5.0	5.0	5	0.0
GoldenOakElementarySHAFTERCITYOF	1.0	1.5	1.1666666666666667	3	0.0
